Etichette di riga;Conteggio di id;;;;;;
Alabama;738;;Alabama;738;;;
Alaska;146;;Alaska;146;;;
Arizona;737;;Arizona;737;;;
Arkansas;204;;Arkansas;204;;;
California;3631;;California;3631;;;
Colorado;742;;Colorado;742;;;
Connecticut;408;;Connecticut;408;;;
Delaware;128;;Delaware;128;;;
District of Columbia;1110;;District of Columbia;1110;;;
Florida;2834;;Florida;2834;;;
Georgia;926;;Georgia;926;;;
Hawaii;149;;Hawaii;149;;;
Idaho;174;;Idaho;174;;;
Illinois;848;;Illinois;848;;;
Indiana;736;;Indiana;736;;;
Iowa;366;;Iowa;366;;;
Kansas;467;;Kansas;467;;;
Kentucky;411;;Kentucky;411;;;
Louisiana;627;;Louisiana;627;;;
Maine;16;;Maine;16;;;
Maryland;415;;Maryland;415;;;
Massachusetts;493;;Massachusetts;493;;;
Michigan;612;;Michigan;612;;;
Minnesota;712;;Minnesota;712;;;
Mississippi;178;;Mississippi;178;;;
Missouri;682;;Missouri;682;;;
Montana;94;;Montana;94;;;
Nebraska;243;;Nebraska;243;;;
Nevada;459;;Nevada;459;;;
New Hampshire;51;;New Hampshire;51;;;
New Jersey;317;;New Jersey;317;;;
New Mexico;212;;New Mexico;212;;;
New York;1786;;New York;1786;;;
North Carolina;765;;North Carolina;765;;;
North Dakota;76;;North Dakota;76;;;
Ohio;1160;;Ohio;1160;;;
Oklahoma;538;;Oklahoma;538;;;
Oregon;261;;Oregon;261;;;
Pennsylvania;1017;;Pennsylvania;1017;;;
Rhode Island;35;;Rhode Island;35;;;
South Carolina;315;;South Carolina;315;;;
South Dakota;93;;South Dakota;93;;;
Tennessee;664;;Tennessee;664;;;
Texas;3572;;Texas;3572;;;
Utah;298;;Utah;298;;;
Vermont;14;;Vermont;14;;;
Virginia;1164;;Virginia;1164;;;
Washington;663;;Washington;663;;;
West Virginia;301;;West Virginia;301;;;
Wisconsin;342;;Wisconsin;342;;;
Wyoming;11;;Wyoming;11;;;
Totale complessivo;32941;;;;;;
